Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,5d_sma,10d_sma,20d_sma,50d_sma,200d_sma,5v20_trend,10v50_trend,Closev200_trend,RSI
2019-08-19,59.22,59.92,59.12,59.72,14234000,0.0,0,,,,,,0,0,0,
2019-08-20,59.85,59.86,59.37,59.62,15524400,0.0,0,,,,,,0,0,0,
2019-08-21,59.53,60.02,59.48,60.02,14397900,0.0,0,,,,,,0,0,0,
2019-08-22,59.98,60.15,59.56,60.08,14917100,0.0,0,,,,,,0,0,0,
2019-08-23,60.19,60.39,59.14,59.44,21297900,0.0,0,59.775999999999996,,,,,0,0,0,
2019-08-26,59.58,60.14,59.44,60.13,12850700,0.0,0,59.85799999999999,,,,,0,0,0,
2019-08-27,60.42,60.66,60.16,60.23,19224400,0.0,0,59.98,,,,,0,0,0,
2019-08-28,60.3,60.51,59.85,60.07,15895800,0.0,0,59.989999999999995,,,,,0,0,0,
2019-08-29,60.41,60.5,59.92,60.48,17733500,0.0,0,60.07000000000001,,,,,0,0,0,
2019-08-30,60.67,60.72,60.32,60.5,12083000,0.0,0,60.282000000000004,60.028999999999996,,,,0,0,0,
2019-09-03,60.48,61.59,60.42,61.58,21364100,0.0,0,60.572,60.214999999999996,,,,0,0,0,
2019-09-04,61.75,61.9,61.25,61.63,15816600,0.0,0,60.852,60.416,,,,0,0,0,
2019-09-05,61.23,61.36,60.75,60.97,29332400,0.0,0,61.032000000000004,60.511,,,,0,0,0,
2019-09-06,61.12,61.26,60.54,60.72,12663200,0.0,0,61.08,60.575,,,,0,0,0,
2019-09-09,60.6,60.71,60.31,60.43,16824900,0.0,0,61.065999999999995,60.674,,,,0,0,0,
2019-09-10,60.33,60.5,59.98,60.5,19168000,0.0,0,60.85,60.711,,,,0,0,0,
2019-09-11,60.42,61.15,60.14,61.1,22688500,0.0,0,60.74400000000001,60.798,,,,0,0,0,
2019-09-12,61.47,61.65,60.96,61.24,23599700,0.0,0,60.798,60.915,,,,0,0,0,
2019-09-13,60.89,61.3,60.67,60.85,24999100,0.0,0,60.824,60.952,,,,0,0,0,
2019-09-16,60.95,61.0,60.56,60.9,11963000,0.0,0,60.91799999999999,60.992,60.5105,,,bullish,0,0,
2019-09-17,61.01,61.58,60.98,61.43,17329100,0.0,0,61.104,60.97699999999999,60.596000000000004,,,bullish,0,0,
2019-09-18,61.66,61.89,61.28,61.69,20962700,0.0,0,61.221999999999994,60.98299999999998,60.699500000000015,,,bullish,0,0,
2019-09-19,61.89,62.04,61.65,61.98,15020700,0.0,0,61.36999999999999,61.08399999999998,60.797500000000014,,,bullish,0,0,
2019-09-20,62.06,62.3,61.75,62.23,18494600,0.492,0,61.645999999999994,61.23499999999998,60.905000000000015,,,bullish,0,0,
2019-09-23,62.21,62.47,62.08,62.24,8808300,0.0,0,61.914,61.41599999999998,61.045000000000016,,,bullish,0,0,
2019-09-24,62.46,63.18,62.41,62.97,26907900,0.0,0,62.221999999999994,61.66299999999999,61.18700000000001,,,bullish,0,0,
2019-09-25,62.92,63.0,62.59,62.93,16233800,0.0,0,62.46999999999999,61.84599999999998,61.32200000000002,,,bullish,0,0,
2019-09-26,63.08,63.44,62.97,63.26,13373400,0.0,0,62.725999999999985,62.04799999999998,61.48150000000002,,,bullish,0,0,100.0
2019-09-27,63.35,63.39,62.69,63.04,16614800,0.0,0,62.88799999999999,62.266999999999975,61.60950000000001,,,bullish,0,0,100.0
2019-09-30,63.08,63.4,62.9,63.07,10835200,0.0,0,63.05399999999999,62.48399999999998,61.738000000000014,,,bullish,0,0,100.0
2019-10-01,62.86,63.04,62.59,62.93,23783400,0.0,0,63.04599999999998,62.63399999999998,61.805500000000016,,,bullish,0,0,100.0
